ts,ticker,series,category,side,entry_price_c,settle_rate,pnl,result,mode
2026-07-27T03:32:57+00:00,KXMVECROSSCATEGORY-S2026ADD5DE87F9C-59D9E4DF7A6,KXMVECROSSCATEGORY,Exotics,no,70.1,0.8564,,,paper
2026-07-27T03:32:57+00:00,KXMVECROSSCATEGORY-S2026BA945332965-7A531D03D71,KXMVECROSSCATEGORY,Exotics,no,72.6,0.8564,,,paper
2026-07-27T03:32:57+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026C1E7B1757C1-5963A878080,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,72.0,0.8564,,,paper
2026-07-27T03:32:57+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026FE6388E8F87-B47B88E5205,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,80.5,0.9267,,,paper
2026-07-28T01:42:51+00:00,KXMLBTOTAL-26JUL271910ATLNYM-19,KXMLBTOTAL,Sports,no,75.0,0.8788,,,paper
2026-07-27T03:32:57+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202628466A4BF25-03DA19306E1,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,70.0,0.8564,,,paper
2026-07-27T03:32:57+00:00,KXMVECROSSCATEGORY-S20267B012563D5D-9265ADCC50B,KXMVECROSSCATEGORY,Exotics,no,72.6,0.8564,,,paper
2026-07-28T01:42:51+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20261A4BB3357DD-6F4518C7852,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,61.1,0.819,,,paper
2026-07-28T01:42:51+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026A2A5B5B0DAF-EA4980C927A,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,51.4,0.7182,,,paper
2026-07-28T16:30:00+00:00,KXMVECROSSCATEGORY-S2026ACE8A19EE08-74092906B48,KXMVECROSSCATEGORY,Exotics,no,50.0,0.7182,,,paper
2026-07-28T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026A47918463D9-29D7104CF92,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,61.9,0.819,,,paper
2026-07-28T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202686E1D503123-F3CBA59DF03,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,60.9,0.819,,,paper
2026-07-28T16:30:00+00:00,KXMVECROSSCATEGORY-S2026C9B5EF09D28-9F9CBE0EFDC,KXMVECROSSCATEGORY,Exotics,no,62.0,0.819,,,paper
2026-07-28T16:30:00+00:00,KXMVECROSSCATEGORY-S20264B8E77AA0A0-581A9522C13,KXMVECROSSCATEGORY,Exotics,no,62.1,0.819,,,paper
2026-07-29T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20268F847172581-3E86B2B6F72,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,51.4,0.7182,,,paper
2026-07-29T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202640D1EF96981-5B8290A7D50,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,65.2,0.819,,,paper
2026-07-29T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20268011211A18B-4F9E171E0D6,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,65.4,0.819,,,paper
2026-07-29T16:30:00+00:00,KXMVECROSSCATEGORY-S202638C8E030B30-DC4F8A6E42D,KXMVECROSSCATEGORY,Exotics,no,40.4,0.5968,,,paper
2026-07-29T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026C073B4B6B20-12F38F9EB92,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,64.3,0.819,,,paper
2026-07-28T16:30:00+00:00,KXMVECROSSCATEGORY-S2026EC8D8F43D26-BAE896099DE,KXMVECROSSCATEGORY,Exotics,no,50.5,0.7182,,,paper
2026-07-30T16:30:01+00:00,KXMVECROSSCATEGORY-S2026FD57ED45111-2D26E4CDAB2,KXMVECROSSCATEGORY,Exotics,no,53.6,0.7182,,,paper
2026-07-30T16:30:01+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20269C256B9F2B2-C28E6641756,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,55.0,0.7182,,,paper
2026-07-30T16:30:01+00:00,KXMVECROSSCATEGORY-S20260716721C056-90B3F19ABB0,KXMVECROSSCATEGORY,Exotics,no,71.1,0.8618,,,paper
2026-07-30T16:30:01+00:00,KXMLBHRR-26JUL301415CHCSTL-CHCMCONFORTO90-3,KXMLBHRR,Sports,no,76.0,0.8788,,,paper
2026-07-30T16:30:01+00:00,KXMLBHRR-26JUL301415CHCSTL-CHCMBUSCH29-4,KXMLBHRR,Sports,no,81.0,0.9241,,,paper
2026-07-30T16:30:01+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20262CD9C2C6C7D-C697A2CDE49,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,61.8,0.819,,,paper
2026-07-30T16:30:01+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026AFBF39141C8-CD91AA1964F,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,53.2,0.7182,,,paper
2026-07-30T16:30:01+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20268D53B76CAC0-A83E140623B,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,54.6,0.7182,,,paper
2026-07-31T22:35:51+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026DA1E5F8209B-2C36003DC8A,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,62.1,0.819,,,paper
2026-07-31T22:35:51+00:00,KXMVECROSSCATEGORY-S2026A94206A0F31-499CD859864,KXMVECROSSCATEGORY,Exotics,no,40.1,0.5968,,,paper
2026-07-31T22:35:51+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026B05A7268DBC-FBAB2B15F53,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,62.5,0.819,,,paper
2026-07-31T22:35:51+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202691BD7EFAACF-D8D0F714D07,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,64.3,0.819,,,paper
2026-07-31T22:35:51+00:00,KXMVECROSSCATEGORY-S2026C3DF8847C9A-435937CCDC6,KXMVECROSSCATEGORY,Exotics,no,42.5,0.5968,,,paper
2026-07-31T22:35:51+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026F526AA27FA1-5DCED85DBFE,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,51.6,0.7182,,,paper
2026-07-31T22:35:51+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202632830D2B0CE-D6D311A4E9B,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,63.4,0.819,,,paper
2026-08-01T16:30:04+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026908FDA4A709-24DD663BB38,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,50.0,0.7182,,,paper
2026-08-01T16:30:04+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20267656202503A-9F7A08363E0,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,61.6,0.819,,,paper
2026-08-01T16:30:04+00:00,KXMVECROSSCATEGORY-S2026812FCF7DA44-2E5CEAB78BD,KXMVECROSSCATEGORY,Exotics,no,52.4,0.7182,,,paper
2026-08-01T16:30:04+00:00,KXEKSTRAKLASASPREAD-26AUG01WIELPO-LPO4,KXEKSTRAKLASASPREAD,Sports,no,83.0,0.9241,,,paper
2026-08-01T16:30:04+00:00,KXEKSTRAKLASATOTAL-26AUG01WIELPO-7,KXEKSTRAKLASATOTAL,Sports,no,96.0,0.9959,,,paper
2026-08-01T16:30:04+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20263F8B6956D39-0D92545F3D4,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,40.6,0.5968,,,paper
2026-08-01T16:30:04+00:00,KXMVECROSSCATEGORY-S2026AF4F648B817-E9533BEE409,KXMVECROSSCATEGORY,Exotics,no,62.8,0.819,,,paper
2026-08-02T16:30:05+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202664A0B4D967C-427193FFE60,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,40.3,0.5925,,,paper
2026-08-02T16:30:05+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20265BF45CBC587-2CB45E94A0D,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,51.4,0.709,,,paper
2026-08-02T16:30:05+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026B19FC9884E0-92B833C2591,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,51.6,0.709,,,paper
2026-08-02T16:30:05+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202620B7E799808-4F86D1BF956,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,60.0,0.811,,,paper
2026-08-02T16:30:05+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026F007E35A16D-D995ECC4A34,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,50.8,0.709,,,paper
2026-08-03T16:30:03+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026770DDE5D55A-DA906A1ACD9,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,61.9,0.811,,,paper
2026-08-03T16:30:03+00:00,KXMVECROSSCATEGORY-S2026D3BE258D950-7C9C5802057,KXMVECROSSCATEGORY,Exotics,no,50.8,0.709,,,paper
2026-08-03T16:30:03+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20260067E3AAFDA-51E2DAB749F,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,53.7,0.709,,,paper
2026-08-03T16:30:03+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20265488BCAB3A6-ED1A60F3988,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,62.5,0.811,,,paper
2026-08-02T16:30:05+00:00,KXMVECROSSCATEGORY-S2026D69260F5D67-291B0170BF8,KXMVECROSSCATEGORY,Exotics,no,51.8,0.709,,,paper
2026-08-03T16:30:03+00:00,KXMVECROSSCATEGORY-S20266CDB3243FF5-7B1A9670749,KXMVECROSSCATEGORY,Exotics,no,70.9,0.8623,,,paper
2026-08-04T16:30:00+00:00,KXMVECROSSCATEGORY-S202642F73158BDA-62A61E19FB4,KXMVECROSSCATEGORY,Exotics,no,42.2,0.5925,,,paper
2026-08-04T16:30:00+00:00,KXMVECROSSCATEGORY-S202634110254F4B-7D8ED56D229,KXMVECROSSCATEGORY,Exotics,no,54.5,0.709,,,paper
2026-08-04T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026A0E7A07AC0C-67D9F510627,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,71.4,0.8623,,,paper
2026-08-04T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026F4B459F5C9E-592EE30190D,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,62.4,0.811,,,paper
2026-08-04T16:30:00+00:00,KXMVECROSSCATEGORY-S2026D1269CB565D-E1E83197CDC,KXMVECROSSCATEGORY,Exotics,no,53.7,0.709,,,paper
2026-08-04T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026F7193D79B95-4A9113B630E,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,41.1,0.5925,,,paper
